token	normalised
Et	Et
uoce	uoce
tube	tube
cornee	cornee
Almi	Almi
uiri	uiri
ꝯ ꝑant᷑	com parantur
uoce	uoce
tube	tube
cornee	cornee
ꝑꝑ	propter
p᷑gationem	purgationem
uñ	unde
igͤ	igne
me	me
exam̃	examinasti
sic̃	sicut
exam̃	examinatur
arg̃	argentum
ꝑꝑ	propter
sonorita tarẽ	sonorita tarem
ꝙͣ	quam
h̃nt	habent
ĩ	in
tribl̃atioñ	tribulatione

uñ	unde
ad	ad
dñm	dominum
cũ	cum
tͥbularer	tribularer
clamaui	clamaui
ꝑꝑ	propter
duritiam	duritiam
uñ	unde
neq	neque
mors	mors
neq	neque
uita	uita
seꝑat	separat
nos	nos
a	a
cãitate	caritate
xͥ	Christi
ꝑꝑ	propter
luciditatẽ	luciditatem
uñ	unde
sic	sic
lu ceant	lu ceant
oꝑa	opera
ur̃a	uestra

bona	bona
ꝑꝑ	propter
emiñam	eminentiam
uñ	unde
uos	uos
estis	estis
gẽs	gens
sc̃a	sancta
gen᷒	genus
elc̃ũ	electum
regale	regale
sacerdocium	sacerdocium
ꝑꝑ	propter
pugnã	pugnam
uñ	unde
estote	estote
fortes	fortes
ĩ	in
bello	bello
ꝑꝑ	propter
originem	originem
nam	nam
sic᷒	sicus
cornu	cornu
q̃d	quod

de	de
carne	carne
nascr̃	nascitur
nõ	non
ẽ	est
caro	caro
sic	sic
⁊	et
sc̃i	sancti
ĩ	in
carne	carne
poĩti	positi
ñ	non
uiuunt	uiuunt
carnalr̃	carnaliter
p̃p	propter
exultatiõm	exultationem
uñ	unde
exultab̃t	exultabunt
sc̃i	sancti
ĩ	in
gloria	gloria
p̃p	propter
lau datiõm	lau dationem
uñ	unde

clamãtia	clamantia
⁊	et
diceñia	dicentiia
sc̃s	sanctus
sc̃s	sanctus
Moyses	Moyses
⁊	et
aaron	aaron
ĩ	in
sacerdotibus	sacerdotibus
discretio	discretio
devotio	devotio
circumspectõ	circumspectio
ĩ	in
opere	opere
in	in
or̃one	oratione
in	in
ꝯtẽplatioñ	contemplatione
officium	officium
pͥmi	primi
facienda	facienda
preciꝑe	precipere
cauenda	cauenda
in	in

hibere	hibere
dñs	dominus
reg̃	regnauit
qñ	quando
restituta	restituta
ẽ	est
tͥplex	triplex
fuit	fuit
restitutio	restitutio
in	in
ꝯũsis	conuersis
in	in
lapsis	lapsis
in	in
substitutis	substitutis
in	in
ꝯũsis	conuersis
qñ	quando
iud̃i	iudei
ꝯũsi	conuersi
sunt	sunt
ad	ad
fidẽ	fidem
qͥa	quia
de	de

syon	syon
exiuit	exiuit
lex	lex
in	in
lap sis	lap sis
qñ	quando
apl̃i	apostoli
redierũt	redierunt
ad	ad
fidem	fidem
uñ	unde
ego	ego
ꝯfirmaui	confirmaui
colũpnas	columpnas
eius	eius
in	in
sub stitutis	sub stitutis
quia	quia
loco	loco
iud̃oꝝ	iudeorum
subĩtrauer̃t	subintrauerunt
g̃s	gentes
ad	ad
fidem	fidem
uñ	unde

cecitas	cecitas
ex	ex
ꝑte	parte
ꝯtĩ git	contin git
ĩ	in
isr̃l	israhel
ut	ut
plenitudo	plenitudo
gentiũ	gentium
Si	Si
queratur	queratur
qũo	quomodo
restituta	restituta
fũit	fuerit
caro	caro
sua	sua
xp̃o	Christo
cum	cum
numꝙͣ	numquam
seꝑata	separata
diuinitas	diuinitas
a	a
carne	carne
sic̃	sicut
nec	nec

ab	ab
aĩa	anima
dicim᷒	dicimus
q̃d	quod
dr̃d	dicitur
ei	ei
restituta	restituta
quia	quia
fuit	fuit
aĩe	anime
restituta	restituta
aĩa	anima
enim	enim
fuit	fuit
seꝑata	separata
a	a
carne	carne
set	set
ũbum	uerbum
nec	nec
a	a
carne	carne
nec	nec
ab	ab
aĩa	anima

dñs	dominus
regͣuit	regnauit
exl̃tet	exultet
t̃ra	terra
Eccl̃a	Ecclesia
qñ 	quando que
dr̃d	dicitur
t̃ra	terra
ꝑꝑ	propter
sui	sui
firmitatẽ	firmitatem
ẜm	secundum
illd̃	illd
vo b̃cum	vo biscum
sum	sum
usq	usque
ad	ad
ꝯsumatiõm	consumationem
scl̃i	seculi
qñ 	quando que
orb̃	orbis
t̃re	terre
ꝑꝑ	propter
uolubl̃itatẽ	uolubilitatem
quia	quia

uol uit	uol uit
se	se
ꝯͣ	contra
õem	omnem
uentũ	uentum
ꝑsecutiõis	persecutionis
uñ	unde
dñs	dominus
dedit	dedit
dñs	dominus
abstulit	abstulit
qñ 	quando que
ĩ	in
quia	quia
ĩ	in
salo	salo
mundi	mundi
fluctib᷒	fluctibus
ꝑsecutionũ	persecutionum
tundr̃	tunditur
uñ	unde
⁊	et
insulis	insulis
que	que
lõge	longe

sunt	sunt
dicite	dicite
saluator	saluator
nr̃	noster
adueniet	adueniet
qñ 	quando que
arrida	arrida
quia	quia
siccata	siccata
ẽ	est
ab	ab
humore	humore
uitioꝝ	uitiorum
uñ	unde
qui	qui
ꝯũtit	conuertit
mare	mare
ĩ	in
aridã	aridam
et	et
c̃	cetera
Cantate	Cantate
dño	domino
canticũ	canticum
nouũ	nouum

cãtate	cantate
dño	domino
om̃is	omnis
t̃ra	terra
Cantate	Cantate
dño	domino
bñdicite	benedicite
nõi	nomini
eius	eius
annũ tiate	annun tiate
de	de
die	die
in	in
diẽ	diem
salutare	salutare
eius	eius
annũtia te	annuntia te
int̃	inter
gt̃s	gentes
gl̃am	gloriam
eius	eius
in	in
om̃ib	omnibus
ppl̃is	populis
mirabi lia	mirabi lia

eius	eius
Qm̃	Quoniam
magnus	magnus
dñs	dominus
⁊	et
laudabilis	laudabilis
nimis	nimis
t̃ribil̃	terribilis
ẽ	est
suꝑ	super
õs	omnes
d̃os	deos
Qm̃	Quoniam
om̃s	omnes
dii	dii
gẽtiũ	gentium
demõia	demonia
dñs	dominus
aut̃	autem
celos	celos
fecit	fecit
Confessio	Confessio
⁊	et
pulcritudo	pulcritudo
in	in

ꝯspectu	conspectu
eius	eius
sc̃imonia	sanctimonia
⁊	et
magnificẽtia	magnificentia
in	in
sc̃i ficatiõe	sancti ficatione
eius	eius
Aff̃te	Afferte
dño	domino
patrie	patrie
gentiũ	gentium
af fẽte	af feerte
dño	domino
gl̃am	gloriam
⁊	et
honorẽ	honorem
affẽte	affeerte
dño	domino
gl̃am	gloriam
nõi	nomini
eius	eius
Tollite	Tollite
hostias	hostias
⁊	et

introite	introite
in	in
atria	atria
ei᷒	eius
adorate	adorate
dñm	dominum
in	in
atrio	atrio
sc̃o	sancto
eius	eius
Cõmoueat᷑	Commoueatur
a	a
facie	facie
eius	eius
uniu͛sa	uniuersa
t̃ra	terra
dicite	dicite
in	in
gẽtib	gentibus
	quia
dñs	dominus
regnauit	regnauit
Etenĩ	Etenim
cõrexit	coerrexit
orbẽ	orbem

qui	qui
ñ	non
ꝯmo uebr̃	commo uebitur
iudicabit	iudicabit
ppl̃os	populos
in	in
equitate	equitate
Letent᷑	Letentur
celi	celi
⁊	et
exultet	exultet
t̃ra	terra
ꝯmoueat᷑	commoueatur
mare	mare
⁊	et
plenitu do	plenitu do
eius	eius
gaudebũt	gaudebunt
cãpi	campi
⁊	et
om̃ia	omnia
que	que
in	in
eis	eis
s̃t	sunt

Tũc	Tunc
exultabũt	exultabunt
om̃ia	omnia
ligna	ligna
siluarũ	siluarum
a	a
facie	facie
dñi	domini
	quia
uenit	uenit
qm̃	quoniam
uenit	uenit
iudicare	iudicare
t̃ram	terram
Iudicabit	Iudicabit
orbẽ	orbem
t̃re	terre
in	in
equitate	equitate
⁊	et
ppl̃os	populos
in	in
ue ritate	ue ritate
sua	sua
Domin᷒	Dominus

regnauit	regnauit
exultet	exultet
t̃ra	terra
letent᷑	letentur
insule	insule
multe	multe
Nubes	Nubes
⁊	et
caligo	caligo
in	in
cĩcuitu	circuitu
eius	eius
iusti tia	iusti tia
⁊	et
iudiciũ	iudicium
correctõ	correctio
sedis	sedis
eius	eius
Ignis	Ignis
añ	ante
ip̃m	ipsum
