token	normalised
synai	synai
devant	devant
le	le
pueple	pueple
	et
lor	lor
establi	establi
⁊	et
moustre	moustre
combien	combien
pres	pres
il	il
venront	venront
dou	dou
mont	mont
	et
di	di
lor	lor
qu	qu
il	il
preignent	preignent
bien	bien
garde	garde
qu	qu
il	il
ne	ne
vaisent	vaisent
en	en
avant	avant
ne	ne
qu	qu
il	il
ne	ne
touchent	touchent
au	au
mont	mont
quicunques	quicunques
touchera	touchera
au	au
mõt	mont
il	il
morra	morra
se	se
nul	nul
le	le
touche	touche
de	de
sa	sa
main	main
il	il
sera	sera
lapidez	lapidez
ou	ou
tresperciez	tresperciez
de	de
darz	darz
en	en
lançant	lançant
quicũques	quicunques
cil	cil
sera	sera
ou	ou
home	home
ou	ou
beste	beste
quant	quant
la	la
buisine	buisine
sonera	sonera
si	si
vaisent	vaisent
vers	vers
le	le
mõt	mont
moyses	moyses
senefia	senefia
au	au
pueple	pueple
si	si
com	com
deu	deu
l	l
ot	ot
comandé	comandé
	et
lave	lave
rent	rent
lor	lor
vestimenz	vestimenz
	et
lor	lor
de	de
fendi	fendi
moyses	moyses
qu	qu
il	il
aprochas	aprochas
sent	sent
a	a
lor	lor
femmes	femmes
mais	mais
fus	fus
sent	sent
appareillié	appareillié
au	au
jor	jor
nomé	nomé
xlvicap̃	xlvicapitulum
ici	ici
dit	dit
q̃	que
les	les
pa	pa
roles	roles
de	de
deu	deu
sũt	sunt
oïes	oïes
ou	ou
mont	mont
de	de
synai	synai
quant	quant
vint	vint
au	au
tiers	tiers
jor	jor
⁊	et
il	il
fist	fist
cler	cler
ma	ma
tin	tin
si	si
comença	comença
form̃t	forment
a	a
toner	toner
⁊	et
a	a
espartir	espartir
	et
une	une
nüe	nüe
forment	forment
espesse	espesse
covri	covri
la	la
mon	mon
taigne	taigne
⁊	et
le	le
son	son
de	de
buisine	buisine
esteit	esteit
oiz	oiz
forment	forment
lors	lors
ot	ot
le	le
pueple	pueple
grant	grant
paor	paor
qui	qui
esteit	esteit
es	es
herberges	herberges
moyses	etmoyses
les	les
me	me
na	na
jusques	jusques
au	au
pié	pié
dou	dou
mont	mont
la	la
ou	ou
la	la
gloire	gloire
de	de
nr̃e	nostre
seignor	seignor
devoit	devoit
aparoir	aparoir
toute	toute
la	la
mon	mon
taigne	taigne
fumoit	fumoit
por	por
ce	ce
q̃nr̃e	quenostre
sires	sires
esteit	esteit
descenduz	descenduz
en	en
semblan	semblan
ce	ce
de	de
feu	feu
⁊	et
la	la
fume	fume
en	en
isseit	isseit
com	com
ce	ce
fust	fust
d	d
une	une
fornaise	fornaise
la	la
montaigne	montaigne
esteit	esteit
lors	lors
mout	mout
espaventable	espaventable
	et
le	le
son	son
de	de
la	la
boi	boi
sine	sine
creisseit	creisseit
petit	petit
a	a
petit	petit
⁊	et
mout	mout
esteit	esteit
oï	oï
de	de
loing	loing
moyses	moyses
parloit	parloit
⁊nr̃e	etnostre
sire	sire
li	li
respondeit	respondeit
lors	lors
fist	fist
nr̃e	nostre
siresmoysen	siresmoysen
